"Название раздела";"GUID идентификатор группы элементов";"GUID идентификатор родительской группы элементов";"Заголовок раздела(title)";"Описание раздела(description)";"Ключевые слова раздела(keywords)";"Описание раздела";"Путь для раздела";"Порядок сортировки раздела";"GUID идентификатор элемента";"Название элемента";"Описание элемента";"Текст для элемента";"Метки";"Активность элемента";"Порядок сортировки элемента";"Путь к элементу";"Заголовок (title)";"Значение мета-тега description для страницы с элементом";"Значение мета-тега keywords для страницы с элементом";"Флаг индексации";"Дата";"Дата публикации";"Дата завершения публикации";"Файл изображения для элемента";"Файл малого изображения для элемента";"Ярлыки";"Идентификатор пользователя сайта";"Форматированное текстовое поле1-1";"Чек бокс1-1";"Форматированное текстовое поле2-1";"Чек бокс2-1";"Форматированное текстовое поле3-1";"Чек бокс3-1";"Адрес (youtube)";"Заголовок1-1";"Ссылка1-1";"Описание1-1";"Заголовок2-1";"Ссылка2-1";"Описание2-1";"Заголовок3-1";"Ссылка3-1";"Описание3-1";"Заголовок4-1";"Ссылка4-1";"Описание4-1";"Заголовок5-1";"Ссылка5-1";"Описание5-1";
;;;;;;;;;;"Полезные свойства салата";;" Привычная кулинария, как оказывается, несет в себе достаточно много секретов и даже тайн. Даже то, что писали о ней исследователи, при детальном разборе становится не совсем очевидно. Многие считают, что понимание как приготовить полезные свойства салата присуще молодой хозяйке. Это вопрос довольно спорный.<br> Мы же остановимся на самом простом из рецептов. Этот рецепт нельзя считать традиционным. Но по своему вкусу ему, пожалуй, сложно подыскать достойного конкурента в своем классе. <br> Изучите нашу инструкцию и будете знать как нужно готовить это вкусное блюдо, мы надеемся что из нее вы подчерпнете для себя кое-что новое. По крайней мере, Вы точно будете уверены в том как приготовить полезные свойства салата. Желаем Вам приятного чтения!";;"1";"0";"poleznye-svojstva-salata";"Узнай как приготовить полезные свойства салата. Подборка вкусных рецептов для дома с фото и видео. Читай!";"Полезные свойства салата - простые пошаговые рецепты с фото и видео";;"1";"02.07.2017 20:49:57";"0000-00-00 00:00:00";"0000-00-00 00:00:00";;;;"0";;
;;;;;;;;;;"Салат латука";;" Классическая кулинария, как оказывается, несет в себе достаточно много загадок. Многие считают, что понимание как приготовить салат латука присуще начинающей домохозяйке. Скажем честно, это вопрос во многом не простой.<br> Мы решили остановиться на наиболее простом из рецептов. Это блюдо вряд ли можно считать традиционным. Но по своему вкусу ему нет конкурентов в своем классе. <br> Ознакомьтесь с нашей инструкцией и вы узнаете как нужно готовить это вкусное блюдо, мы думаем что наша статья окажется интересной. По крайней мере, Вы точно познакомитесь с тем как приготовить салат латука. Приятного чтения!";;"1";"0";"salat-latuka";"Узнай как приготовить салат латука. Подборка вкусных рецептов для дома с фото и видео. Читай!";"Салат латука - простые пошаговые рецепты с фото и видео";;"1";"02.07.2017 20:49:57";"0000-00-00 00:00:00";"0000-00-00 00:00:00";;;;"0";;
;;;;;;;;;;"Кресс салат фото";;"Многие хозяйки не уверены как приготовить кресс салат фото. Между тем, этот вопрос не такой сложный как кажется. Привычная кухня содержит много загадок и даже тайн. Считается, что понимание как приготовить кресс салат фото присуще любой молодой хозяйке. Вынуждены признать, это вопрос во многом спорный.<br> Мы поделимся одним из самых доступных способов готовки этого блюда. Это блюдо нельзя считать традиционным. Но по оригинальности ему, пожалуй, нет равных в своем классе. <br> Ознакомьтесь с нашей инструкцией и вы узнаете как нужно готовить это вкусное блюдо, мы думаем что из нее вы подчерпнете о кулинарии что-то новое. Вы точно будете уверены в том как приготовить кресс салат фото. Итак, устраивайтесь поудобнее, мы начинаем!";;"1";"0";"kress-salat-foto";"Узнай как приготовить кресс салат фото. Подборка вкусных рецептов для дома с фото и видео. Читай!";"Кресс салат фото - простые пошаговые рецепты с фото и видео";;"1";"02.07.2017 20:49:57";"0000-00-00 00:00:00";"0000-00-00 00:00:00";;;;"0";;
;;;;;;;;;;"Салат одесский кучерявец";;"Довольно часто любители программы "Мастер-шеф" не знают как приготовить салат одесский кучерявец. Впрочем, этот вопрос не такой сложный как кажется. Любая национальная кухня содержит достаточно много хитростей. Довольно часто то, что описано в классических трудах, после пристального изучения является иногда удивительным. Традиционно считается, что знание как приготовить салат одесский кучерявец является доступным для любой хозяйки. Честно говоря, это вопрос во многом риторический.<br> Мы поделимся в этой статье одним из простых рецептов. Этот рецепт вряд ли можно считать выдающимся. Но по оригинальности ему сложно подобрать конкурента в своем классе. <br> Прочитайте нашу инструкцию и узнайте как нужно готовить это вкуснейшее блюдо, наша статья будет интересной. По крайней мере, Вы точно будете знать как приготовить салат одесский кучерявец. Итак, устраивайтесь поудобнее, мы начинаем!";;"1";"0";"salat-odesskij-kucherjavec";"Узнай как приготовить салат одесский кучерявец. Подборка вкусных рецептов для дома с фото и видео. Читай!";"Салат одесский кучерявец - простые пошаговые рецепты с фото и видео";;"1";"02.07.2017 20:49:57";"0000-00-00 00:00:00";"0000-00-00 00:00:00";;;;"0";;
;;;;;;;;;;"Название салатов";;" Любая национальная кулинария несет в себе достаточно много секретов. Довольно часто то, что писали о ней кулинарные эксперты, при детальном разборе становится не так очевидно. Считается, что понимание как приготовить название салатов является простым для начинающей домохозяйки. Так ли это – вопрос довольно риторический.<br> Мы поделимся на этой странице одним из ярких рецептов. Этот способ готовки вряд ли можно считать традиционным. Но по своей яркости ему, пожалуй, сложно найти достойного соперника. <br> Ознакомьтесь с нашей статьей и вы узнаете как правильно приготовить это вкусное блюдо, наша статья может оказаться для вас полезной. По крайней мере, Вы точно познакомитесь с тем как приготовить название салатов. ";;"1";"0";"nazvanie-salatov";"Узнай как приготовить название салатов. Подборка вкусных рецептов для дома с фото и видео. Читай!";"Название салатов - простые пошаговые рецепты с фото и видео";;"1";"02.07.2017 20:49:57";"0000-00-00 00:00:00";"0000-00-00 00:00:00";;;;"0";;
;;;;;;;;;;"Салат растение";;"Довольно часто пользователи интернета сомневаются в том как приготовить салат растение. Между тем, ничего слишком сложного в этом рецепте нет. Любая национальная кулинария содержит много хитростей и даже тайн. Многие считают, что понимание как приготовить салат растение является присущим для любой домохозяйки. Вынуждены признать, это вопрос не простой.<br> Мы решили поделиться на этой странице одним из самых доступных способов готовки этого блюда. Этот способ готовки вряд ли можно назвать историческим. Но по насыщенности вкусом ему нет достойных конкурентов. <br> Прочитайте нашу инструкцию и будете знать как нужно готовить это вкусное блюдо, из нее вы подчерпнете кое-что новое. Как минимум, Вы точно познакомитесь с тем как приготовить салат растение. Желаем Вам приятного чтения!";;"1";"0";"salat-rastenie";"Узнай как приготовить салат растение. Подборка вкусных рецептов для дома с фото и видео. Читай!";"Салат растение - простые пошаговые рецепты с фото и видео";;"1";"02.07.2017 20:49:57";"0000-00-00 00:00:00";"0000-00-00 00:00:00";;;;"0";;
;;;;;;;;;;"Кресс салат выращивание";;"Некоторые юные пользователи соцсети Вконтакте сомневаются в том как приготовить кресс салат выращивание. Однако, ничего слишком сложного в этом блюде на самом деле, нет. Любая национальная кухня, как оказывается, несет в себе много хитростей и даже тайн. Считается, что понимание как приготовить кресс салат выращивание присуще начинающей домохозяйке. Скажем честно, это вопрос неоднозначный.<br> Мы решили остановиться на наиболее простом из рецептов. Этот рецепт нельзя считать традиционным. Но по своей яркости ему, пожалуй, нет сильных соперников в своем классе. <br> Читайте нашу статью и вы узнаете как нужно готовить это вкуснейшее блюдо, из нее вы подчерпнете о кулинарии и кухне много нового. Как минимум, Вы точно узнаете как приготовить кресс салат выращивание. Приятного чтения!";;"1";"0";"kress-salat-vyracshivanie";"Узнай как приготовить кресс салат выращивание. Подборка вкусных рецептов для дома с фото и видео. Читай!";"Кресс салат выращивание - простые пошаговые рецепты с фото и видео";;"1";"02.07.2017 20:49:57";"0000-00-00 00:00:00";"0000-00-00 00:00:00";;;;"0";;
;;;;;;;;;;"Зелень для салата";;"Многие пользователи соцсети Фейсбук не знают как приготовить зелень для салата. Однако, ничего невозможного в этом блюде на самом деле, нет. Традиционная кулинария содержит достаточно много загадок. Довольно часто то, что описано в классических работах, при детальном разборе оказывается иногда удивительным. Традиционно считается, что понимание как приготовить зелень для салата присуще любой начинающей хозяйке. Это вопрос во многом не совсем простой.<br> Мы поделимся на этой странице одним из самых простых рецептов. Этот способ готовки только с натяжкой можно назвать выдающимся. Но по насыщенности вкусом ему нет достойных соперников. <br> Читайте нашу инструкцию и узнайте как правильно приготовить это вкусное блюдо, из нее вы подчерпнете о секретах готовки много нового. Как минимум, Вы точно узнаете как приготовить зелень для салата. Приятного чтения!";;"1";"0";"zelen-dlja-salata";"Узнай как приготовить зелень для салата. Подборка вкусных рецептов для дома с фото и видео. Читай!";"Зелень для салата - простые пошаговые рецепты с фото и видео";;"1";"02.07.2017 20:49:57";"0000-00-00 00:00:00";"0000-00-00 00:00:00";;;;"0";;
;;;;;;;;;;"Салат курица с ананасами";;" Привычная кулинария несет в себе достаточно много хитростей и даже тайн. Считается, что знание как приготовить салат курица с ананасами присуще любой начинающей хозяйке. Это вопрос довольно не простой.<br> Мы решили поделиться в этой статье одним из самых ярких рецептов. Этот рецепт только с натяжкой можно назвать выдающимся (хотя почему?). Но по своей яркости ему нет равных в своем классе. <br> Изучите нашу статью и вы узнаете как нужно готовить это вкусное блюдо, наша статья может оказаться для вас полезной. По крайней мере, Вы точно узнаете как приготовить салат курица с ананасами. Итак, устраивайтесь поудобнее, и мы начнем!";;"1";"0";"salat-kurica-s-ananasami";"Узнай как приготовить салат курица с ананасами. Подборка вкусных рецептов для дома с фото и видео. Читай!";"Салат курица с ананасами - простые пошаговые рецепты с фото и видео";;"1";"02.07.2017 20:49:57";"0000-00-00 00:00:00";"0000-00-00 00:00:00";;;;"0";;
;;;;;;;;;;"Салат наслаждение";;" Русская кулинария, как оказывается, имеет достаточно много секретов и даже тайн. Традиционно считается, что понимание как приготовить салат наслаждение присуще любой молодой домохозяйке. Это вопрос довольно не такой простой.<br> Мы поделимся в этой статье одним из ярких способов готовки этого блюда. Этот способ готовки вряд ли можно считать историческим. Но по своей яркости ему нет соперников. <br> Читайте нашу инструкцию и вы узнаете как правильно приготовить это вкусное блюдо, мы надеемся что наша статья окажется для вас интересной. Как минимум, Вы точно познакомитесь с тем как приготовить салат наслаждение. Итак, устраивайтесь поудобнее, мы начинаем!";;"1";"0";"salat-naslazhdenie";"Узнай как приготовить салат наслаждение. Подборка вкусных рецептов для дома с фото и видео. Читай!";"Салат наслаждение - простые пошаговые рецепты с фото и видео";;"1";"02.07.2017 20:49:57";"0000-00-00 00:00:00";"0000-00-00 00:00:00";;;;"0";;
